date,Average Hourly Earnings of All Employees: Total Private,state,msa,city,title,id,frequency,seasonal_adjustment
2019-12-01,22.372097351304802,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2020-01-01,22.7443206142754,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2020-02-01,23.058840934046604,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2020-03-01,22.905278515581102,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2020-04-01,23.8047879613035,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2020-05-01,24.157753692070997,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2020-06-01,24.190883679766998,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2020-07-01,24.6759201716197,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2020-08-01,25.3391218676003,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2020-09-01,25.2476364480523,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2020-10-01,26.1612383555925,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
