date,Housing Inventory: Average Listing Price,state,msa,city,title,id,frequency,seasonal_adjustment
2020-06-01,360492.8783,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2020-07-01,357716.0648,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2020-08-01,364219.5592,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2020-09-01,366826.7653,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2020-10-01,362932.6658,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2020-11-01,349832.2657,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2020-12-01,351746.1046,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2021-01-01,346014.5409,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2021-02-01,334725.7116,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2021-03-01,368780.927,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2021-04-01,383343.0251,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2021-05-01,399057.4777,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2021-06-01,414255.8983,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2021-07-01,393774.2068,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2021-08-01,379148.2844,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2021-09-01,360703.1563,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2021-10-01,353049.1556,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2021-11-01,354585.8364,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2016-07-01,306264.1221,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Average Listing Price in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",AVELISPRI34820,Monthly,Not Seasonally Adjusted
2016-08-01,306724.1273,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Average Listing Price in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",AVELISPRI34820,Monthly,Not Seasonally Adjusted
2016-09-01,263632.9888,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Average Listing Price in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",AVELISPRI34820,Monthly,Not Seasonally Adjusted
2016-10-01,308284.1988,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Average Listing Price in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",AVELISPRI34820,Monthly,Not Seasonally Adjusted
2016-11-01,306411.114,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Average Listing Price in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",AVELISPRI34820,Monthly,Not Seasonally Adjusted
