date,Housing Inventory: Median Listing Price Month-Over-Month,state,msa,city
2018-08-01,-0.01,GA,"Gainesville, GA",Gainesville
2018-09-01,0.0,GA,"Gainesville, GA",Gainesville
2018-10-01,-4.0,GA,"Gainesville, GA",Gainesville
2018-11-01,-1.16,GA,"Gainesville, GA",Gainesville
2018-12-01,-0.63,GA,"Gainesville, GA",Gainesville
2019-01-01,0.63,GA,"Gainesville, GA",Gainesville
2019-02-01,2.53,GA,"Gainesville, GA",Gainesville
2019-03-01,-0.36,GA,"Gainesville, GA",Gainesville
2019-04-01,-4.21,GA,"Gainesville, GA",Gainesville
2019-05-01,0.03,GA,"Gainesville, GA",Gainesville
2019-06-01,-4.62,GA,"Gainesville, GA",Gainesville
2019-07-01,-1.0,GA,"Gainesville, GA",Gainesville
2019-08-01,-2.02,GA,"Gainesville, GA",Gainesville
2019-09-01,-0.82,GA,"Gainesville, GA",Gainesville
2019-10-01,3.92,GA,"Gainesville, GA",Gainesville
2019-11-01,3.24,GA,"Gainesville, GA",Gainesville
2019-12-01,-0.88,GA,"Gainesville, GA",Gainesville
2020-01-01,-3.24,GA,"Gainesville, GA",Gainesville
2020-02-01,3.82,GA,"Gainesville, GA",Gainesville
2020-03-01,6.28,GA,"Gainesville, GA",Gainesville
2020-04-01,-1.07,GA,"Gainesville, GA",Gainesville
2020-05-01,2.24,GA,"Gainesville, GA",Gainesville
2020-06-01,4.22,GA,"Gainesville, GA",Gainesville
2020-07-01,-1.96,GA,"Gainesville, GA",Gainesville
2020-08-01,4.93,GA,"Gainesville, GA",Gainesville
2020-09-01,0.2,GA,"Gainesville, GA",Gainesville
2020-10-01,-3.6,GA,"Gainesville, GA",Gainesville
2020-11-01,-1.32,GA,"Gainesville, GA",Gainesville
2020-12-01,-1.44,GA,"Gainesville, GA",Gainesville
2021-01-01,2.91,GA,"Gainesville, GA",Gainesville
2021-02-01,9.34,GA,"Gainesville, GA",Gainesville
2021-03-01,-1.66,GA,"Gainesville, GA",Gainesville
