date,Housing Inventory: Median Days on Market Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2020-12-01,10.6060606,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2021-01-01,17.8082192,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2021-02-01,-40.6976744,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2021-03-01,0.0,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2021-04-01,9.8039216,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2021-05-01,-10.7142857,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2021-06-01,-12.0,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2021-07-01,-2.2727273,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2021-08-01,16.2790698,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2021-09-01,6.0,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2021-10-01,5.6603774,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2021-11-01,-5.3571429,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2017-07-01,1.6216216,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Median Days on Market Month-Over-Month in Punta Gorda, FL (CBSA)",MEDDAYONMARMM39460,Monthly,Not Seasonally Adjusted
2017-08-01,3.7234043,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Median Days on Market Month-Over-Month in Punta Gorda, FL (CBSA)",MEDDAYONMARMM39460,Monthly,Not Seasonally Adjusted
2017-09-01,0.5128205,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Median Days on Market Month-Over-Month in Punta Gorda, FL (CBSA)",MEDDAYONMARMM39460,Monthly,Not Seasonally Adjusted
2017-10-01,-8.6734694,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Median Days on Market Month-Over-Month in Punta Gorda, FL (CBSA)",MEDDAYONMARMM39460,Monthly,Not Seasonally Adjusted
2017-11-01,-11.1731844,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Median Days on Market Month-Over-Month in Punta Gorda, FL (CBSA)",MEDDAYONMARMM39460,Monthly,Not Seasonally Adjusted
2017-12-01,-14.4654088,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Median Days on Market Month-Over-Month in Punta Gorda, FL (CBSA)",MEDDAYONMARMM39460,Monthly,Not Seasonally Adjusted
2018-01-01,9.5588235,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Median Days on Market Month-Over-Month in Punta Gorda, FL (CBSA)",MEDDAYONMARMM39460,Monthly,Not Seasonally Adjusted
2018-02-01,-1.3422819,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Median Days on Market Month-Over-Month in Punta Gorda, FL (CBSA)",MEDDAYONMARMM39460,Monthly,Not Seasonally Adjusted
2018-03-01,-3.4013605,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Median Days on Market Month-Over-Month in Punta Gorda, FL (CBSA)",MEDDAYONMARMM39460,Monthly,Not Seasonally Adjusted
2018-04-01,5.6338028,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Median Days on Market Month-Over-Month in Punta Gorda, FL (CBSA)",MEDDAYONMARMM39460,Monthly,Not Seasonally Adjusted
2018-05-01,5.3333333,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Median Days on Market Month-Over-Month in Punta Gorda, FL (CBSA)",MEDDAYONMARMM39460,Monthly,Not Seasonally Adjusted
2018-06-01,17.721519,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Median Days on Market Month-Over-Month in Punta Gorda, FL (CBSA)",MEDDAYONMARMM39460,Monthly,Not Seasonally Adjusted
2018-07-01,2.688172,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Median Days on Market Month-Over-Month in Punta Gorda, FL (CBSA)",MEDDAYONMARMM39460,Monthly,Not Seasonally Adjusted
2018-08-01,-1.0471204,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Median Days on Market Month-Over-Month in Punta Gorda, FL (CBSA)",MEDDAYONMARMM39460,Monthly,Not Seasonally Adjusted
2018-09-01,-1.5873016,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Median Days on Market Month-Over-Month in Punta Gorda, FL (CBSA)",MEDDAYONMARMM39460,Monthly,Not Seasonally Adjusted
2018-10-01,-2.688172,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Median Days on Market Month-Over-Month in Punta Gorda, FL (CBSA)",MEDDAYONMARMM39460,Monthly,Not Seasonally Adjusted
2018-11-01,-19.3370166,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Median Days on Market Month-Over-Month in Punta Gorda, FL (CBSA)",MEDDAYONMARMM39460,Monthly,Not Seasonally Adjusted
2018-12-01,1.369863,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Median Days on Market Month-Over-Month in Punta Gorda, FL (CBSA)",MEDDAYONMARMM39460,Monthly,Not Seasonally Adjusted
2019-01-01,7.4324324,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Median Days on Market Month-Over-Month in Punta Gorda, FL (CBSA)",MEDDAYONMARMM39460,Monthly,Not Seasonally Adjusted
2019-02-01,-1.8867925,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Median Days on Market Month-Over-Month in Punta Gorda, FL (CBSA)",MEDDAYONMARMM39460,Monthly,Not Seasonally Adjusted
2019-03-01,-5.1282051,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Median Days on Market Month-Over-Month in Punta Gorda, FL (CBSA)",MEDDAYONMARMM39460,Monthly,Not Seasonally Adjusted
2019-04-01,4.7297297,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Median Days on Market Month-Over-Month in Punta Gorda, FL (CBSA)",MEDDAYONMARMM39460,Monthly,Not Seasonally Adjusted
2019-05-01,8.3870968,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Median Days on Market Month-Over-Month in Punta Gorda, FL (CBSA)",MEDDAYONMARMM39460,Monthly,Not Seasonally Adjusted
2019-06-01,8.3333333,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Median Days on Market Month-Over-Month in Punta Gorda, FL (CBSA)",MEDDAYONMARMM39460,Monthly,Not Seasonally Adjusted
