date,Housing Inventory: Median Listing Price per Square Feet Year-Over-Year,state,msa,city
2020-10-01,9.89,NE,"Lincoln, NE",Lincoln
2020-11-01,12.47,NE,"Lincoln, NE",Lincoln
2020-12-01,12.8,NE,"Lincoln, NE",Lincoln
2021-01-01,13.23,NE,"Lincoln, NE",Lincoln
2021-02-01,15.11,NE,"Lincoln, NE",Lincoln
2021-03-01,14.12,NE,"Lincoln, NE",Lincoln
2021-04-01,17.14,NE,"Lincoln, NE",Lincoln
2021-05-01,15.28,NE,"Lincoln, NE",Lincoln
2021-06-01,14.57,NE,"Lincoln, NE",Lincoln
2021-07-01,10.74,NE,"Lincoln, NE",Lincoln
2021-08-01,14.64,NE,"Lincoln, NE",Lincoln
2021-09-01,10.42,NE,"Lincoln, NE",Lincoln
2021-10-01,10.75,NE,"Lincoln, NE",Lincoln
2021-11-01,12.96,NE,"Lincoln, NE",Lincoln
2017-07-01,2.99,IL,"Rockford, IL",Rockford
2017-08-01,-7.57,IL,"Rockford, IL",Rockford
2017-09-01,-7.86,IL,"Rockford, IL",Rockford
2017-10-01,-8.81,IL,"Rockford, IL",Rockford
2017-11-01,-7.39,IL,"Rockford, IL",Rockford
2017-12-01,4.23,IL,"Rockford, IL",Rockford
2018-01-01,5.54,IL,"Rockford, IL",Rockford
2018-02-01,7.98,IL,"Rockford, IL",Rockford
2018-03-01,8.44,IL,"Rockford, IL",Rockford
2018-04-01,8.82,IL,"Rockford, IL",Rockford
2018-05-01,8.72,IL,"Rockford, IL",Rockford
2018-06-01,8.96,IL,"Rockford, IL",Rockford
2018-07-01,7.63,IL,"Rockford, IL",Rockford
2018-08-01,5.67,IL,"Rockford, IL",Rockford
2018-09-01,5.49,IL,"Rockford, IL",Rockford
2018-10-01,7.65,IL,"Rockford, IL",Rockford
2018-11-01,7.66,IL,"Rockford, IL",Rockford
2018-12-01,6.05,IL,"Rockford, IL",Rockford
2019-01-01,7.73,IL,"Rockford, IL",Rockford
2019-02-01,5.95,IL,"Rockford, IL",Rockford
2019-03-01,9.52,IL,"Rockford, IL",Rockford
2019-04-01,15.91,IL,"Rockford, IL",Rockford
2019-05-01,16.27,IL,"Rockford, IL",Rockford
2019-06-01,16.99,IL,"Rockford, IL",Rockford
2019-07-01,7.12,IL,"Rockford, IL",Rockford
2019-08-01,6.47,IL,"Rockford, IL",Rockford
2019-09-01,7.19,IL,"Rockford, IL",Rockford
2019-10-01,5.87,IL,"Rockford, IL",Rockford
2019-11-01,5.54,IL,"Rockford, IL",Rockford
2019-12-01,8.03,IL,"Rockford, IL",Rockford
2020-01-01,6.5,IL,"Rockford, IL",Rockford
2020-02-01,7.18,IL,"Rockford, IL",Rockford
2020-03-01,2.57,IL,"Rockford, IL",Rockford
2020-04-01,-4.29,IL,"Rockford, IL",Rockford
2020-05-01,-5.24,IL,"Rockford, IL",Rockford
2020-06-01,-2.59,IL,"Rockford, IL",Rockford
2020-07-01,5.48,IL,"Rockford, IL",Rockford
2020-08-01,5.35,IL,"Rockford, IL",Rockford
2020-09-01,7.62,IL,"Rockford, IL",Rockford
2020-10-01,6.99,IL,"Rockford, IL",Rockford
2020-11-01,6.04,IL,"Rockford, IL",Rockford
2020-12-01,4.78,IL,"Rockford, IL",Rockford
2021-01-01,3.35,IL,"Rockford, IL",Rockford
2021-02-01,6.45,IL,"Rockford, IL",Rockford
2021-03-01,9.67,IL,"Rockford, IL",Rockford
2021-04-01,15.33,IL,"Rockford, IL",Rockford
