date,Housing Inventory: Median Days on Market Year-Over-Year,state,msa,city,title,id,frequency,seasonal_adjustment
2020-06-01,9.6153846,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2020-07-01,-0.952381,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2020-08-01,-12.2807018,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2020-09-01,-15.9663866,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2020-10-01,-20.6349206,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2020-11-01,-21.875,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2020-12-01,-20.2898551,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2021-01-01,-15.4929577,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2021-02-01,-11.2068966,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2021-03-01,4.0816327,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2021-04-01,-22.0183486,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2021-05-01,-39.6825397,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2021-06-01,-35.9649123,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2021-07-01,-30.7692308,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2021-08-01,-26.0,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2021-09-01,-17.0,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2021-10-01,-10.0,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2021-11-01,-6.0,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2017-07-01,-21.4285714,WA,"Kennewick-Richland, WA",Kennewick,"Housing Inventory: Median Days on Market Year-Over-Year in Kennewick-Richland, WA (CBSA)",MEDDAYONMARYY28420,Monthly,Not Seasonally Adjusted
2017-08-01,-7.4074074,WA,"Kennewick-Richland, WA",Kennewick,"Housing Inventory: Median Days on Market Year-Over-Year in Kennewick-Richland, WA (CBSA)",MEDDAYONMARYY28420,Monthly,Not Seasonally Adjusted
2017-09-01,-1.1235955,WA,"Kennewick-Richland, WA",Kennewick,"Housing Inventory: Median Days on Market Year-Over-Year in Kennewick-Richland, WA (CBSA)",MEDDAYONMARYY28420,Monthly,Not Seasonally Adjusted
2017-10-01,-13.7254902,WA,"Kennewick-Richland, WA",Kennewick,"Housing Inventory: Median Days on Market Year-Over-Year in Kennewick-Richland, WA (CBSA)",MEDDAYONMARYY28420,Monthly,Not Seasonally Adjusted
2017-11-01,-11.9266055,WA,"Kennewick-Richland, WA",Kennewick,"Housing Inventory: Median Days on Market Year-Over-Year in Kennewick-Richland, WA (CBSA)",MEDDAYONMARYY28420,Monthly,Not Seasonally Adjusted
2017-12-01,-11.1111111,WA,"Kennewick-Richland, WA",Kennewick,"Housing Inventory: Median Days on Market Year-Over-Year in Kennewick-Richland, WA (CBSA)",MEDDAYONMARYY28420,Monthly,Not Seasonally Adjusted
2018-01-01,-12.5827815,WA,"Kennewick-Richland, WA",Kennewick,"Housing Inventory: Median Days on Market Year-Over-Year in Kennewick-Richland, WA (CBSA)",MEDDAYONMARYY28420,Monthly,Not Seasonally Adjusted
2018-02-01,-27.5167785,WA,"Kennewick-Richland, WA",Kennewick,"Housing Inventory: Median Days on Market Year-Over-Year in Kennewick-Richland, WA (CBSA)",MEDDAYONMARYY28420,Monthly,Not Seasonally Adjusted
2018-03-01,-21.6494845,WA,"Kennewick-Richland, WA",Kennewick,"Housing Inventory: Median Days on Market Year-Over-Year in Kennewick-Richland, WA (CBSA)",MEDDAYONMARYY28420,Monthly,Not Seasonally Adjusted
2018-04-01,-11.5384615,WA,"Kennewick-Richland, WA",Kennewick,"Housing Inventory: Median Days on Market Year-Over-Year in Kennewick-Richland, WA (CBSA)",MEDDAYONMARYY28420,Monthly,Not Seasonally Adjusted
2018-05-01,12.1212121,WA,"Kennewick-Richland, WA",Kennewick,"Housing Inventory: Median Days on Market Year-Over-Year in Kennewick-Richland, WA (CBSA)",MEDDAYONMARYY28420,Monthly,Not Seasonally Adjusted
2018-06-01,2.8571429,WA,"Kennewick-Richland, WA",Kennewick,"Housing Inventory: Median Days on Market Year-Over-Year in Kennewick-Richland, WA (CBSA)",MEDDAYONMARYY28420,Monthly,Not Seasonally Adjusted
2018-07-01,12.1212121,WA,"Kennewick-Richland, WA",Kennewick,"Housing Inventory: Median Days on Market Year-Over-Year in Kennewick-Richland, WA (CBSA)",MEDDAYONMARYY28420,Monthly,Not Seasonally Adjusted
2018-08-01,1.3333333,WA,"Kennewick-Richland, WA",Kennewick,"Housing Inventory: Median Days on Market Year-Over-Year in Kennewick-Richland, WA (CBSA)",MEDDAYONMARYY28420,Monthly,Not Seasonally Adjusted
2018-09-01,-2.2727273,WA,"Kennewick-Richland, WA",Kennewick,"Housing Inventory: Median Days on Market Year-Over-Year in Kennewick-Richland, WA (CBSA)",MEDDAYONMARYY28420,Monthly,Not Seasonally Adjusted
2018-10-01,5.6818182,WA,"Kennewick-Richland, WA",Kennewick,"Housing Inventory: Median Days on Market Year-Over-Year in Kennewick-Richland, WA (CBSA)",MEDDAYONMARYY28420,Monthly,Not Seasonally Adjusted
