date,Housing Inventory: Active Listing Count Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2018-12-01,8.65,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2019-01-01,4.54,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2019-02-01,5.94,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2019-03-01,-1.35,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2019-04-01,-3.59,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2019-05-01,-7.2,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2019-06-01,-8.32,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2019-07-01,-8.09,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2019-08-01,-4.5,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2019-09-01,-2.28,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2019-10-01,6.02,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2019-11-01,4.71,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2019-12-01,1.76,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2020-01-01,-0.96,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2020-02-01,-1.02,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2020-03-01,1.62,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2020-04-01,2.6,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2020-05-01,-5.12,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2020-06-01,-10.89,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2020-07-01,-11.39,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
