date,Regional Price Parities,state,msa,city,title,id,frequency,seasonal_adjustment
2012-01-01,97.8,WA,"Kennewick-Richland, WA",Kennewick,"Regional Price Parities: All Items for Kennewick-Richland, WA (MSA)",RPPALL28420,Annual,Not Seasonally Adjusted
2013-01-01,98.4,WA,"Kennewick-Richland, WA",Kennewick,"Regional Price Parities: All Items for Kennewick-Richland, WA (MSA)",RPPALL28420,Annual,Not Seasonally Adjusted
2014-01-01,97.7,WA,"Kennewick-Richland, WA",Kennewick,"Regional Price Parities: All Items for Kennewick-Richland, WA (MSA)",RPPALL28420,Annual,Not Seasonally Adjusted
2015-01-01,96.9,WA,"Kennewick-Richland, WA",Kennewick,"Regional Price Parities: All Items for Kennewick-Richland, WA (MSA)",RPPALL28420,Annual,Not Seasonally Adjusted
2016-01-01,97.3,WA,"Kennewick-Richland, WA",Kennewick,"Regional Price Parities: All Items for Kennewick-Richland, WA (MSA)",RPPALL28420,Annual,Not Seasonally Adjusted
2017-01-01,97.9,WA,"Kennewick-Richland, WA",Kennewick,"Regional Price Parities: All Items for Kennewick-Richland, WA (MSA)",RPPALL28420,Annual,Not Seasonally Adjusted
2018-01-01,98.0,WA,"Kennewick-Richland, WA",Kennewick,"Regional Price Parities: All Items for Kennewick-Richland, WA (MSA)",RPPALL28420,Annual,Not Seasonally Adjusted
2019-01-01,98.6,WA,"Kennewick-Richland, WA",Kennewick,"Regional Price Parities: All Items for Kennewick-Richland, WA (MSA)",RPPALL28420,Annual,Not Seasonally Adjusted
2008-01-01,92.9,ID,"Lewiston, ID-WA",Lewiston,"Regional Price Parities: All Items for Lewiston, ID-WA (MSA)",RPPALL30300,Annual,Not Seasonally Adjusted
2009-01-01,90.9,ID,"Lewiston, ID-WA",Lewiston,"Regional Price Parities: All Items for Lewiston, ID-WA (MSA)",RPPALL30300,Annual,Not Seasonally Adjusted
2010-01-01,91.1,ID,"Lewiston, ID-WA",Lewiston,"Regional Price Parities: All Items for Lewiston, ID-WA (MSA)",RPPALL30300,Annual,Not Seasonally Adjusted
2011-01-01,90.4,ID,"Lewiston, ID-WA",Lewiston,"Regional Price Parities: All Items for Lewiston, ID-WA (MSA)",RPPALL30300,Annual,Not Seasonally Adjusted
2012-01-01,90.7,ID,"Lewiston, ID-WA",Lewiston,"Regional Price Parities: All Items for Lewiston, ID-WA (MSA)",RPPALL30300,Annual,Not Seasonally Adjusted
2013-01-01,90.5,ID,"Lewiston, ID-WA",Lewiston,"Regional Price Parities: All Items for Lewiston, ID-WA (MSA)",RPPALL30300,Annual,Not Seasonally Adjusted
2014-01-01,90.5,ID,"Lewiston, ID-WA",Lewiston,"Regional Price Parities: All Items for Lewiston, ID-WA (MSA)",RPPALL30300,Annual,Not Seasonally Adjusted
2015-01-01,90.8,ID,"Lewiston, ID-WA",Lewiston,"Regional Price Parities: All Items for Lewiston, ID-WA (MSA)",RPPALL30300,Annual,Not Seasonally Adjusted
2016-01-01,90.5,ID,"Lewiston, ID-WA",Lewiston,"Regional Price Parities: All Items for Lewiston, ID-WA (MSA)",RPPALL30300,Annual,Not Seasonally Adjusted
2017-01-01,90.4,ID,"Lewiston, ID-WA",Lewiston,"Regional Price Parities: All Items for Lewiston, ID-WA (MSA)",RPPALL30300,Annual,Not Seasonally Adjusted
2018-01-01,90.2,ID,"Lewiston, ID-WA",Lewiston,"Regional Price Parities: All Items for Lewiston, ID-WA (MSA)",RPPALL30300,Annual,Not Seasonally Adjusted
2019-01-01,90.8,ID,"Lewiston, ID-WA",Lewiston,"Regional Price Parities: All Items for Lewiston, ID-WA (MSA)",RPPALL30300,Annual,Not Seasonally Adjusted
2008-01-01,93.6,NE,"Lincoln, NE",Lincoln,"Regional Price Parities: All Items for Lincoln, NE (MSA)",RPPALL30700,Annual,Not Seasonally Adjusted
2009-01-01,93.3,NE,"Lincoln, NE",Lincoln,"Regional Price Parities: All Items for Lincoln, NE (MSA)",RPPALL30700,Annual,Not Seasonally Adjusted
2010-01-01,93.1,NE,"Lincoln, NE",Lincoln,"Regional Price Parities: All Items for Lincoln, NE (MSA)",RPPALL30700,Annual,Not Seasonally Adjusted
2011-01-01,93.1,NE,"Lincoln, NE",Lincoln,"Regional Price Parities: All Items for Lincoln, NE (MSA)",RPPALL30700,Annual,Not Seasonally Adjusted
2012-01-01,93.1,NE,"Lincoln, NE",Lincoln,"Regional Price Parities: All Items for Lincoln, NE (MSA)",RPPALL30700,Annual,Not Seasonally Adjusted
2013-01-01,92.7,NE,"Lincoln, NE",Lincoln,"Regional Price Parities: All Items for Lincoln, NE (MSA)",RPPALL30700,Annual,Not Seasonally Adjusted
2014-01-01,92.4,NE,"Lincoln, NE",Lincoln,"Regional Price Parities: All Items for Lincoln, NE (MSA)",RPPALL30700,Annual,Not Seasonally Adjusted
2015-01-01,91.8,NE,"Lincoln, NE",Lincoln,"Regional Price Parities: All Items for Lincoln, NE (MSA)",RPPALL30700,Annual,Not Seasonally Adjusted
2016-01-01,91.3,NE,"Lincoln, NE",Lincoln,"Regional Price Parities: All Items for Lincoln, NE (MSA)",RPPALL30700,Annual,Not Seasonally Adjusted
2017-01-01,91.0,NE,"Lincoln, NE",Lincoln,"Regional Price Parities: All Items for Lincoln, NE (MSA)",RPPALL30700,Annual,Not Seasonally Adjusted
2018-01-01,90.9,NE,"Lincoln, NE",Lincoln,"Regional Price Parities: All Items for Lincoln, NE (MSA)",RPPALL30700,Annual,Not Seasonally Adjusted
2019-01-01,90.9,NE,"Lincoln, NE",Lincoln,"Regional Price Parities: All Items for Lincoln, NE (MSA)",RPPALL30700,Annual,Not Seasonally Adjusted
