date,Average Weekly Earnings of All Employees: Total Private,state,msa,city,title,id,frequency,seasonal_adjustment
2013-12-01,604.279619304696,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2014-01-01,616.045565354517,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2014-02-01,619.696890491532,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2014-03-01,599.536990812786,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2014-04-01,606.501036095769,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2014-05-01,601.854950999258,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2014-06-01,598.3186541051899,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2014-07-01,578.7761289519,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2014-08-01,559.8161149295449,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2014-09-01,589.9615942403769,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2014-10-01,585.118954793425,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2014-11-01,609.94091980239,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2014-12-01,637.271976271305,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2015-01-01,647.787248188475,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2015-02-01,663.891966077134,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2015-03-01,667.408409266048,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2015-04-01,679.5823699893119,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2015-05-01,685.176847475282,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2015-06-01,676.834861322351,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2015-07-01,686.376138392958,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2015-08-01,688.776816840809,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2015-09-01,696.76354423401,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2015-10-01,711.2741174350481,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2015-11-01,708.8943117131461,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2015-12-01,706.734651183658,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2016-01-01,734.99793063431,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2016-02-01,720.4993000026641,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2016-03-01,726.2018234248129,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2016-04-01,723.944513398203,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2016-05-01,690.5072235056559,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2016-06-01,710.127235728659,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2016-07-01,718.982207643233,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2016-08-01,703.2392398848191,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2016-09-01,732.445166933774,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2016-10-01,732.396447698773,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2016-11-01,719.4590400235809,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2016-12-01,731.578915312144,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2017-01-01,721.220687177683,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2017-02-01,714.542913862426,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2017-03-01,736.107462612419,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2017-04-01,730.043683200437,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2017-05-01,751.7210715275281,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2017-06-01,731.537232490138,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2017-07-01,734.522349888024,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2017-08-01,745.14808163724,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2017-09-01,733.922762015816,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2017-10-01,747.18995253596,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
