date,New Private Housing Units Authorized by Building Permits,state,msa,city,title,id,frequency,seasonal_adjustment
1997-01-01,259.559693710278,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1997-02-01,240.975852281012,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1997-03-01,224.345401048905,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1997-04-01,232.100306744161,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1997-05-01,214.824380554136,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1997-06-01,222.34793909262402,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1997-07-01,251.245464397711,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1997-08-01,240.085955078184,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1997-09-01,324.129183334801,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1997-10-01,257.01571083748,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1997-11-01,190.51950801625,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
