date,Housing Inventory: Median Listing Price per Square Feet Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2019-12-01,-1.01,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2020-01-01,0.48,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2020-02-01,2.78,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2020-03-01,1.55,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2020-04-01,-0.76,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2020-05-01,1.64,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2020-06-01,2.91,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2020-07-01,2.71,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2020-08-01,3.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2020-09-01,3.73,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2020-10-01,0.76,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2020-11-01,0.37,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2020-12-01,-0.33,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2021-01-01,2.05,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2021-02-01,5.85,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2021-03-01,2.65,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2021-04-01,0.65,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2021-05-01,-0.49,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
