date,Housing Inventory: Price Reduced Count,state,msa,city,title,id,frequency,seasonal_adjustment
2021-08-01,124.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2021-09-01,124.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2021-10-01,120.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2021-11-01,64.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2016-07-01,22680.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Price Reduced Count in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",PRIREDCOU16980,Monthly,Not Seasonally Adjusted
2016-08-01,21532.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Price Reduced Count in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",PRIREDCOU16980,Monthly,Not Seasonally Adjusted
2016-09-01,21240.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Price Reduced Count in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",PRIREDCOU16980,Monthly,Not Seasonally Adjusted
2016-10-01,19000.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Price Reduced Count in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",PRIREDCOU16980,Monthly,Not Seasonally Adjusted
2016-11-01,16064.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Price Reduced Count in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",PRIREDCOU16980,Monthly,Not Seasonally Adjusted
2016-12-01,11412.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Price Reduced Count in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",PRIREDCOU16980,Monthly,Not Seasonally Adjusted
2017-01-01,10656.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Price Reduced Count in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",PRIREDCOU16980,Monthly,Not Seasonally Adjusted
