date,Housing Inventory: Price Reduced Count Year-Over-Year,state,msa,city,title,id,frequency,seasonal_adjustment
2017-11-01,5.72,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2017-12-01,0.83,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2018-01-01,-3.83,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2018-02-01,-10.19,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2018-03-01,-10.98,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2018-04-01,-1.53,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2018-05-01,-5.37,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2018-06-01,-1.64,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2018-07-01,-4.28,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2018-08-01,-4.44,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
