date,Average Weekly Hours of All Employees: Total Private,state,msa,city,title,id,frequency,seasonal_adjustment
2020-07-01,34.4868936600287,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2020-08-01,35.650238212995895,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2020-09-01,34.6795341673041,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2020-10-01,35.0680263430741,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2020-11-01,35.711047631098,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2020-12-01,34.8593840542964,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2021-01-01,35.1066905509623,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2021-02-01,35.0365083974145,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2021-03-01,34.9517777983339,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2021-04-01,35.1853694262872,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2021-05-01,35.8169879959939,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2021-06-01,35.297174503438896,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2021-07-01,35.161527175070894,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2021-08-01,35.4270480571553,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2021-09-01,34.922173833244,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
