date,Housing Inventory: Median Listing Price Year-Over-Year,state,msa,city,title,id,frequency,seasonal_adjustment
2020-03-01,-1.17,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2020-04-01,-2.89,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2020-05-01,-1.53,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2020-06-01,1.26,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2020-07-01,3.12,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2020-08-01,5.37,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2020-09-01,9.66,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2020-10-01,9.85,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2020-11-01,11.48,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2020-12-01,11.5,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2021-01-01,10.0,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2021-02-01,9.69,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2021-03-01,8.4,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
