date,All Employees: Local Government,state,msa,city,title,id,frequency,seasonal_adjustment
2010-01-01,444.7,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: Local Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809093000001A,Annual,Not Seasonally Adjusted
2011-01-01,439.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: Local Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809093000001A,Annual,Not Seasonally Adjusted
2012-01-01,437.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: Local Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809093000001A,Annual,Not Seasonally Adjusted
2013-01-01,437.2,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: Local Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809093000001A,Annual,Not Seasonally Adjusted
2014-01-01,435.3,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: Local Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809093000001A,Annual,Not Seasonally Adjusted
2015-01-01,437.4,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: Local Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809093000001A,Annual,Not Seasonally Adjusted
2016-01-01,437.9,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: Local Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809093000001A,Annual,Not Seasonally Adjusted
2017-01-01,436.6,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: Local Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809093000001A,Annual,Not Seasonally Adjusted
2018-01-01,436.5,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: Local Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809093000001A,Annual,Not Seasonally Adjusted
2019-01-01,437.1,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: Local Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809093000001A,Annual,Not Seasonally Adjusted
2020-01-01,408.7,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: Local Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809093000001A,Annual,Not Seasonally Adjusted
1990-01-01,69.4,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Local Government in Cincinnati, OH-KY-IN (MSA)",SMU39171409093000001A,Annual,Not Seasonally Adjusted
1991-01-01,70.2,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Local Government in Cincinnati, OH-KY-IN (MSA)",SMU39171409093000001A,Annual,Not Seasonally Adjusted
1992-01-01,71.5,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Local Government in Cincinnati, OH-KY-IN (MSA)",SMU39171409093000001A,Annual,Not Seasonally Adjusted
1993-01-01,73.3,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Local Government in Cincinnati, OH-KY-IN (MSA)",SMU39171409093000001A,Annual,Not Seasonally Adjusted
1994-01-01,73.8,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Local Government in Cincinnati, OH-KY-IN (MSA)",SMU39171409093000001A,Annual,Not Seasonally Adjusted
1995-01-01,75.1,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Local Government in Cincinnati, OH-KY-IN (MSA)",SMU39171409093000001A,Annual,Not Seasonally Adjusted
1996-01-01,76.2,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Local Government in Cincinnati, OH-KY-IN (MSA)",SMU39171409093000001A,Annual,Not Seasonally Adjusted
