date,Housing Inventory: Price Increased Count Year-Over-Year,state,msa,city,title,id,frequency,seasonal_adjustment
2020-01-01,-45.18,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Increased Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIINCCOUYY26420,Monthly,Not Seasonally Adjusted
2020-02-01,-33.33,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Increased Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIINCCOUYY26420,Monthly,Not Seasonally Adjusted
2020-03-01,-18.4,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Increased Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIINCCOUYY26420,Monthly,Not Seasonally Adjusted
2020-04-01,-43.53,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Increased Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIINCCOUYY26420,Monthly,Not Seasonally Adjusted
2020-05-01,-27.1,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Increased Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIINCCOUYY26420,Monthly,Not Seasonally Adjusted
2020-06-01,33.33,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Increased Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIINCCOUYY26420,Monthly,Not Seasonally Adjusted
2020-07-01,-6.42,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Increased Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIINCCOUYY26420,Monthly,Not Seasonally Adjusted
2020-08-01,29.4,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Increased Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIINCCOUYY26420,Monthly,Not Seasonally Adjusted
2020-09-01,-12.29,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Increased Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIINCCOUYY26420,Monthly,Not Seasonally Adjusted
2020-10-01,45.35,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Increased Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIINCCOUYY26420,Monthly,Not Seasonally Adjusted
2020-11-01,21.47,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Increased Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIINCCOUYY26420,Monthly,Not Seasonally Adjusted
2020-12-01,29.67,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Increased Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIINCCOUYY26420,Monthly,Not Seasonally Adjusted
2021-01-01,141.2,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Increased Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIINCCOUYY26420,Monthly,Not Seasonally Adjusted
2021-02-01,80.66,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Increased Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIINCCOUYY26420,Monthly,Not Seasonally Adjusted
2021-03-01,126.69,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Increased Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIINCCOUYY26420,Monthly,Not Seasonally Adjusted
2021-04-01,222.93,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Increased Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIINCCOUYY26420,Monthly,Not Seasonally Adjusted
2021-05-01,136.28,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Increased Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIINCCOUYY26420,Monthly,Not Seasonally Adjusted
2021-06-01,43.42,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Increased Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIINCCOUYY26420,Monthly,Not Seasonally Adjusted
