date,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities",state,msa,city,title,id,frequency,seasonal_adjustment
1996-09-01,3.25433227470045,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1996-10-01,3.19674384190685,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1996-11-01,3.28851873405084,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1996-12-01,3.27597118533997,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1997-01-01,3.29039825951577,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1997-02-01,3.2150427162002098,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1997-03-01,3.2043066386868397,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1997-04-01,3.23472240132437,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1997-05-01,3.2824045083241997,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1997-06-01,3.22697122278162,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1997-07-01,3.2663628191328002,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1997-08-01,3.25214547103993,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
