date,Housing Inventory: Active Listing Count,state,msa,city,title,id,frequency,seasonal_adjustment
2019-09-01,1580.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2019-10-01,1584.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2019-11-01,1448.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2019-12-01,1262.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2020-01-01,1164.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2020-02-01,1192.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2020-03-01,1264.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2020-04-01,1278.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2020-05-01,1257.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2020-06-01,1142.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2020-07-01,1074.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2020-08-01,977.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2020-09-01,867.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2020-10-01,815.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2020-11-01,758.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2020-12-01,639.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2021-01-01,551.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2021-02-01,454.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2021-03-01,488.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
