date,Housing Inventory: Active Listing Count Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2020-07-01,-10.55,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2020-08-01,-7.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2020-09-01,-6.79,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2020-10-01,-2.96,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2020-11-01,-8.7,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2020-12-01,-11.38,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2021-01-01,-14.02,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2021-02-01,-16.65,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2021-03-01,-4.75,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2021-04-01,0.83,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2021-05-01,2.39,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2021-06-01,10.38,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2021-07-01,10.57,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
