date,Housing Inventory: Average Listing Price,state,msa,city,title,id,frequency,seasonal_adjustment
2019-06-01,441204.209,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2019-07-01,437382.9532,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2019-08-01,428339.1767,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2019-09-01,424767.3368,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2019-10-01,425888.606,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2019-11-01,432609.4926,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2019-12-01,432699.107,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2020-01-01,428856.9002,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2020-02-01,437514.4374,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2020-03-01,447342.5585,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2020-04-01,435520.3464,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2020-05-01,448284.1649,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2020-06-01,465634.7212,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2020-07-01,487217.4552,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2020-08-01,499230.886,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2020-09-01,509325.7764,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2020-10-01,512527.6656,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2020-11-01,509917.2213,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2020-12-01,511309.9389,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2021-01-01,509032.2732,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2021-02-01,525895.4016,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
